9971,"When The Corn Is Waving","N/A"
9972,"When The Day With Rosy Light","N/A"
9973,"When The Lights Are Low","N/A"
9974,"When The Swallows Homeward Fly","N/A"
9975,"When This Cruel War Is Over","N/A"
9976,"When You And I Were Young Mggie","N/A"
9980,"Where Are The Friends Of My Youth","N/A"
9981,"Where O Where","N/A"
9984,"While Shepherds Watched Their Flocks","N/A"
9990,"Who's That Calling","N/A"
9991,"Why Do I Weep For Thee","N/A"
9992,"Why Do Summer Roses Fade","N/A"
9996,"Widow Machree","N/A"
10000,"Will You Come To The Bow'r","N/A"
10001,"Will You Love Me Then As Now","N/A"
10002,"Willie We Have Missed You","N/A"
10021,"Yankee Ship And A Yankee Crew","N/A"
10025,"Yesterday","N/A"
10027,"You And I","N/A"
9250,"Old Easy Chair By The Fire","N/A"
